3477,UnitName
2833,UnitClass
2750,GetRealmName
2658,UnitFactionGroup
2650,IsShiftKeyDown
2606,GetAddOnMetadata
2515,hooksecurefunc
2500,GetTime
2384,IsControlKeyDown
2355,C_Timer.After
2335,UnitRace
2274,IsAltKeyDown
2267,GetSpellInfo
2112,GetItemInfo
2062,GetMacroInfo
2055,GetLocale
1959,IsLoggedIn
1958,SendChatMessage
1932,GetCurrentRegion
1928,CreateFrame
1844,PlaySound
1837,GetCursorPosition
1765,InCombatLockdown
1744,UnitGUID
1710,GetBuildInfo
1622,UnitLevel
1497,IsAddOnLoaded
1433,IsInRaid
1417,PlaySoundFile
1313,ClearCursor
1298,GetNumGroupMembers
1297,UnitExists
1272,GetCursorInfo
1258,IsInGroup
1148,UnitInRaid
1104,IsInInstance
1076,GetContainerNumSlots
1074,UnitInParty
1062,UnitIsPlayer
1014,GetSpecialization
999,C_ChatInfo.RegisterAddonMessagePrefix
998,C_ChatInfo.SendAddonMessage
959,geterrorhandler
938,CombatLogGetCurrentEventInfo
913,UnitAffectingCombat
910,UnitHealthMax
904,UnitHealth
889,LoadAddOn
877,GetFramerate
853,issecurevariable
829,GetScreenWidth
820,UnitIsUnit
795,UnitAura
784,Ambiguate
784,GetInventoryItemLink
784,GetScreenHeight
738,UnitPower
735,UnitIsDeadOrGhost
733,IsInGuild
732,GetContainerItemInfo
726,UnitBuff
721,C_Map.GetBestMapForUnit
721,GetRaidRosterInfo
720,GetSpecializationInfo
714,GetInstanceInfo
706,GetGuildInfo
702,GetContainerItemLink
695,UnitPowerMax
645,GetItemCount
635,GetAddOnInfo
611,UnitIsGroupLeader
596,UnitIsConnected
592,GetMouseFocus
547,UnitIsDead
541,GetGuildRosterInfo
535,GetMoney
532,GetNumGuildMembers
523,GetSpellCooldown
516,GetItemQualityColor
490,GetSpellLink
488,GetRealZoneText
488,debugstack
486,GetPlayerInfoByGUID
476,GetSpellTexture
474,UnitDebuff
470,UnitPowerType
466,UnitIsFriend
465,GetContainerItemID
465,UnitSex
451,GetInventorySlotInfo
443,GetTalentInfo
435,UnitCastingInfo
435,UnitGroupRolesAssigned
433,GetInventoryItemID
424,UnitCanAttack
422,IsModifiedClick
411,GetBindingKey
395,C_Map.GetMapInfo
395,GetItemIcon
390,GetRaidTargetIndex
380,UseContainerItem
379,GetAchievementInfo
379,UnitPlayerControlled
377,GetNumSubgroupMembers
374,UnitChannelInfo
369,UnitIsVisible
369,UnitXP
364,UnitXPMax
361,IsSpellKnown
361,UnitClassification
358,GetChannelName
354,GetItemInfoInstant
353,PickupContainerItem
351,GetNetStats
346,CheckInteractDistance
338,UnitFullName
338,UnitIsGroupAssistant
337,GetNumAddOns
336,C_Map.GetPlayerMapPosition
327,UnitReaction
326,IsResting
322,GetSpellTabInfo
320,GetSpecializationInfoByID
320,GetSpellBookItemName
320,GetSubZoneText
320,GetZoneText
309,GetServerTime
308,CreateFont
308,GetContainerNumFreeSlots
308,UnitPosition
302,GetNumLootItems
298,IsSpellInRange
297,GetCoinTextureString
297,GetItemCooldown
296,GetProfessionInfo
293,UnitIsAFK
292,GetProfessions
288,UnitOnTaxi
283,DisableAddOn
278,C_NamePlate.GetNamePlateForUnit
275,GetXPExhaustion
275,UnitIsEnemy
273,IsModifierKeyDown
272,BNGetNumFriends
271,IsUsableSpell
271,UnitIsPVP
270,GetGameTime
269,UnitIsTapDenied
268,GetActionInfo
261,IsPlayerSpell
259,UnitIsGhost
257,GetLootSlotLink
255,GetSpellBookItemInfo
254,GetAddOnMemoryUsage
252,UpdateAddOnMemoryUsage
250,BreakUpLargeNumbers
249,GetAverageItemLevel
249,IsMounted
246,UnitCreatureType
243,GetNumSpellTabs
243,SetPortraitTexture
242,GetFactionInfo
240,debugprofilestop
238,C_QuestLog.IsQuestFlaggedCompleted
235,NotifyInspect
235,SetBinding
234,UnitHasVehicleUI
230,GetSpecializationInfoForClassID
229,GetLootSlotInfo
228,UnitInRange
227,C_CurrencyInfo.GetCurrencyInfo
227,C_MountJournal.GetMountInfoByID
226,GetLootMethod
224,GetPlayerFacing
222,GetSpellCharges
222,UnitGetTotalAbsorbs
218,CanInspect
217,GetInventoryItemTexture
217,GetNumFactions
216,GetRepairAllCost
216,IsItemInRange
214,GetNumSpecializationsForClassID
213,RepairAllItems
212,GetInspectSpecialization
211,GetFactionInfoByID
211,SetOverrideBindingClick
210,CursorHasItem
210,GetActiveSpecGroup
207,ClearOverrideBindings
207,GetAchievementCriteriaInfo
207,GetMerchantItemLink
207,UnitThreatSituation
207,securecall
204,ResetCursor
203,UnitInVehicle
202,GetChannelList
201,IsEquippedItem
200,UnitDetailedThreatSituation
199,GetWeaponEnchantInfo
198,GetNumSpecializations
197,GetInventoryItemDurability
195,CanMerchantRepair
195,EnableAddOn
194,GetWatchedFactionInfo
193,GetZonePVPInfo
192,GetClassInfo
191,GetRuneCooldown
191,SetRaidTarget
190,DoEmote
